※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。
商品分析
表示期間,2026年08月10日から2026年08月16日
キーワード
端末,すべて
#,ジャンル,カタログID,商品ID,商品名,商品管理番号,商品番号,売上,売上件数,売上個数,アクセス人数,ユニークユーザー数,転換率,客単価,総購入件数,新規購入件数,リピート購入件数,商品リピート件数,商品リピート率,未購入アクセス人数,レビュー投稿数,レビュー総合評価（点）,総レビュー数,滞在時間（秒）,直帰数,離脱数,離脱率,お気に入り登録ユーザ数,お気に入り総ユーザ数,在庫数
45,"レディースファッション > トップス > ベスト・ジレ","",10000315,"ロングジレ キレイめベスト 前開き 細見え 体型カバー 腰隠れる おしゃれ おすすめ ブラック 気軽に羽織れる人気のベスト コーデ力抜群 母の日 プレゼント ギフト ジレ 体型隠し海外製品 秋冬春",1000000140,"",0,0,0,2,1,0.00%,0,0,0,0,0,0.00%,2,0,0.00,0,19,0,1,50.00%,0,4,5
46,"レディースファッション > チュニック","",10000309,"日本製 綿100％ ハイネック カットソー ボーダー チュニック丈 1春夏トップス レディース おしゃれ おすすめ 細見え 体型カバーTシャツ綿100％ 日本製 涼ハイネック 敬老の日 プレゼント コーデコットン 白 タートルネックUV仕事 母の日",1000000135,"32873393",0,0,0,2,2,0.00%,0,0,0,0,0,0.00%,2,0,0.00,0,6,1,0,50.00%,0,10,1
47,"レディースファッション > トップス > Tシャツ・カットソー","",10000303,"日本製 メローハイネック 長袖 レディース トップス 母の日 プレゼント ハイネック コーデ おすすめ タートルネック インナー 黒 おしゃれ　重ね着 抜群ストレッチ 高品質 やわらかい 超気持ち良い ふわふわ チュニックインナー レイヤードスタイル タートルネック ギフト",1000000130,"6-72803",0,0,0,2,2,0.00%,0,0,0,0,0,0.00%,2,0,5.00,1,28,0,0,0.00%,0,12,0
48,"レディースファッション > トップス > Tシャツ・カットソー","",10000295,"抗ウイルス ハイネック 日本製 レディース 長袖 あったかい 抗菌 防臭 消臭 防汚れ ゆったりとした タートルネック 母の日 プレゼント ギフト",1000000124,"233120",0,0,0,2,2,0.00%,0,0,0,0,0,0.00%,2,0,3.00,1,4,1,0,50.00%,0,10,7
49,"レディースファッション > トップス > ベスト・ジレ","",10000337,"ロングベスト レディース ハイネック 前開き ジレ 春夏 秋冬 シワになりにくい 軽量 体型カバー 腰隠し ヒップライン隠し Iライン きれいめ 大人 ミセス ブラック ネイビー 黒 紺 重ね着 レイヤード 通勤 オフィス お出かけ 母の日 ギフト プレゼント 上品 カジュアル",1000000161,"4592-3744",0,0,0,2,2,0.00%,0,0,0,0,0,0.00%,2,0,4.50,4,128,2,0,100%,0,34,14
50,"レディースファッション > トップス > Tシャツ・カットソー","",10000324,"【初回限定】ベージュ限定 日本製 綿100％ クール冷感ハイネック 長袖 インナー レディース おしゃれシアーｔシャツ 重ね着 白 黒 薄手ゴルフ メッシュ スポーツ タートルネック 春 夏 接触冷感 無地カットソー コットン 作業 uv 日焼け防止 母の日 涼 アンダー tてぃーしゃ",1000000148,"5101初回",0,0,0,2,1,0.00%,0,0,0,0,0,0.00%,2,0,4.40,10,22,0,0,0.00%,0,42,0
51,"レディースファッション > トップス > Tシャツ・カットソー","",10000272,"ソフトタッチ　ハイネックインナー　レディース　長袖　日本製　秋冬用　長袖　タートルネック　あったかい　柔らかい　送料無料　重ね着ファション　レイヤードスタイルに最適",1000000114,"817906",0,0,0,1,1,0.00%,0,0,0,0,0,0.00%,1,0,5.00,2,9,0,0,0.00%,0,32,0
52,"レディースファッション > トップス > Tシャツ・カットソー","",10000316,"ハイネック 裏起毛 レディース カットソー 長袖 きれいめ 上品 トップス 着膨れしない 裏微起毛 とろみ素材 秋冬 通勤 仕事 大人女性 10代 20代 30代 40代 50代 タートルネック インナー 重ね着 黒 白 赤 ストレッチ",1000000146,"21536",0,0,0,1,1,0.00%,0,0,0,0,0,0.00%,1,0,0.00,0,5,0,0,0.00%,0,18,21
53,"レディースファッション > コート・ジャケット","",10000317,"ノーカラーロングコート レディース 人気 きれいめ 大人 30代 40代 50代 軽い 黒 ロングコート 秋 冬 体型カバー 細見え 通勤 オフィス 羽織り 上品 ロングシーズン コーデしやすい 大人女性 ミドル世代 無地",1000000141,"3536-2132",0,0,0,1,1,0.00%,0,0,0,0,0,0.00%,1,0,0.00,0,9,1,0,100%,0,19,4
54,"レディースファッション > トップス > ベスト・ジレ","",10000301,"大人フェミニン　フード付き　ベスト　レディース　春　おしゃれ　前開き　母の日にもおすすめベスト　プレゼント　ギフト　体型カバー　細見えジレ　体型隠し　腰隠れる　ミドル丈　シワになりにくい素材　ストレッチ　黒　ブラック　軽い　人気のベスト　コーデ力抜群",1000000128,"197-82013",0,0,0,1,1,0.00%,0,0,0,0,0,0.00%,1,0,0.00,0,84,1,0,100%,0,18,0
